timestamp,cnt,hum,wind_speed,weather_code,is_holiday,is_weekend,season,Hour
2015-01-04 00:00:00,182,93.0,6.0,3,0,1,3,0
2015-01-04 01:00:00,138,93.0,5.0,1,0,1,3,1
2015-01-04 02:00:00,134,96.5,0.0,1,0,1,3,2
2015-01-04 03:00:00,72,100.0,0.0,1,0,1,3,3
2015-01-04 04:00:00,47,93.0,6.5,1,0,1,3,4
2015-01-04 05:00:00,46,93.0,4.0,1,0,1,3,5
2015-01-04 06:00:00,51,100.0,7.0,4,0,1,3,6
2015-01-04 07:00:00,75,100.0,7.0,4,0,1,3,7
2015-01-04 08:00:00,131,96.5,8.0,4,0,1,3,8
2015-01-04 09:00:00,301,100.0,9.0,3,0,1,3,9
2015-01-04 10:00:00,528,93.0,12.0,3,0,1,3,10
2015-01-04 11:00:00,727,100.0,12.0,3,0,1,3,11
2015-01-04 12:00:00,862,96.5,13.0,4,0,1,3,12
2015-01-04 13:00:00,916,87.0,15.0,3,0,1,3,13
2015-01-04 14:00:00,1039,90.0,8.0,3,0,1,3,14
2015-01-04 15:00:00,869,93.0,11.0,3,0,1,3,15
2015-01-04 16:00:00,737,93.0,12.0,3,0,1,3,16
2015-01-04 17:00:00,594,93.0,11.0,3,0,1,3,17
2015-01-04 18:00:00,522,93.0,6.5,3,0,1,3,18
2015-01-04 19:00:00,379,93.0,7.0,3,0,1,3,19
2015-01-04 20:00:00,328,93.0,4.0,3,0,1,3,20
2015-01-04 21:00:00,221,93.0,5.0,4,0,1,3,21
2015-01-04 22:00:00,178,93.0,6.0,4,0,1,3,22
2015-01-04 23:00:00,157,87.0,5.0,4,0,1,3,23
2015-01-05 00:00:00,83,93.0,6.0,4,0,0,3,0
2015-01-05 01:00:00,67,93.0,5.0,4,0,0,3,1
2015-01-05 02:00:00,32,87.0,6.0,4,0,0,3,2
2015-01-05 03:00:00,22,84.0,7.5,4,0,0,3,3
2015-01-05 04:00:00,38,84.0,8.0,4,0,0,3,4
2015-01-05 05:00:00,81,87.0,5.0,4,0,0,3,5
2015-01-05 06:00:00,444,81.0,5.0,3,0,0,3,6
2015-01-05 07:00:00,1597,81.0,6.5,3,0,0,3,7
2015-01-05 08:00:00,3161,79.0,5.0,3,0,0,3,8
2015-01-05 09:00:00,1342,82.0,6.0,3,0,0,3,9
2015-01-05 10:00:00,568,84.5,6.5,3,0,0,3,10
2015-01-05 11:00:00,584,90.5,10.0,3,0,0,3,11
2015-01-05 12:00:00,762,85.0,11.0,3,0,0,3,12
2015-01-05 13:00:00,873,82.0,10.0,3,0,0,3,13
2015-01-05 14:00:00,672,82.0,9.0,3,0,0,3,14
2015-01-05 15:00:00,807,79.0,10.0,3,0,0,3,15
2015-01-05 16:00:00,1192,73.5,13.0,3,0,0,3,16
2015-01-05 17:00:00,2761,73.5,12.0,3,0,0,3,17
2015-01-05 18:00:00,2389,69.0,14.0,3,0,0,3,18
2015-01-05 19:00:00,1274,71.0,14.0,3,0,0,3,19
2015-01-05 20:00:00,696,71.0,14.0,3,0,0,3,20
2015-01-05 21:00:00,411,71.0,11.0,3,0,0,3,21
2015-01-05 22:00:00,324,71.0,10.0,4,0,0,3,22
2015-01-05 23:00:00,192,73.5,8.0,4,0,0,3,23
2015-01-06 00:00:00,91,76.0,8.0,4,0,0,3,0
2015-01-06 01:00:00,73,76.0,8.0,4,0,0,3,1
2015-01-06 02:00:00,33,76.0,11.0,4,0,0,3,2
2015-01-06 03:00:00,19,76.0,14.0,4,0,0,3,3
2015-01-06 04:00:00,40,73.5,11.0,4,0,0,3,4
2015-01-06 05:00:00,74,82.0,14.0,4,0,0,3,5
2015-01-06 06:00:00,530,84.5,15.0,3,0,0,3,6
2015-01-06 07:00:00,1715,82.0,13.0,3,0,0,3,7
2015-01-06 08:00:00,3534,82.0,12.0,7,0,0,3,8
2015-01-06 09:00:00,1573,87.0,16.0,7,0,0,3,9
2015-01-06 10:00:00,635,88.0,19.5,3,0,0,3,10
2015-01-06 11:00:00,550,88.0,18.0,3,0,0,3,11
2015-01-06 12:00:00,395,85.0,19.0,7,0,0,3,12
2015-01-06 13:00:00,426,84.5,27.5,3,0,0,3,13
2015-01-06 14:00:00,579,71.0,26.0,3,0,0,3,14
2015-01-06 15:00:00,718,71.0,23.0,2,0,0,3,15
2015-01-06 16:00:00,1184,68.5,19.5,2,0,0,3,16
2015-01-06 17:00:00,2662,71.0,22.0,1,0,0,3,17
2015-01-06 18:00:00,2610,71.0,17.5,1,0,0,3,18
2015-01-06 19:00:00,1402,76.0,15.0,1,0,0,3,19
2015-01-06 20:00:00,720,78.5,15.0,1,0,0,3,20
2015-01-06 21:00:00,494,81.0,15.0,1,0,0,3,21
2015-01-06 22:00:00,344,81.0,13.0,1,0,0,3,22
2015-01-06 23:00:00,212,84.0,12.0,1,0,0,3,23
2015-01-07 00:00:00,102,81.0,12.0,1,0,0,3,0
2015-01-07 01:00:00,60,81.0,11.0,1,0,0,3,1
2015-01-07 02:00:00,33,81.0,10.0,1,0,0,3,2
2015-01-07 03:00:00,26,84.0,9.0,2,0,0,3,3
2015-01-07 04:00:00,33,81.0,10.0,2,0,0,3,4
2015-01-07 05:00:00,80,87.0,9.0,1,0,0,3,5
2015-01-07 06:00:00,526,81.0,10.0,1,0,0,3,6
2015-01-07 07:00:00,1757,81.0,13.0,1,0,0,3,7
2015-01-07 08:00:00,3618,81.0,15.0,2,0,0,3,8
2015-01-07 09:00:00,1714,76.0,19.0,3,0,0,3,9
2015-01-07 10:00:00,763,82.0,19.5,2,0,0,3,10
2015-01-07 11:00:00,690,76.0,21.0,2,0,0,3,11
