year,state,candidate,party_simplified,candidatevotes,rank
1980,HAWAII,"ANDERSON, JOHN B.",OTHER,32021,3.0
1980,HAWAII,"CLARK, EDWARD """"ED""""",LIBERTARIAN,3269,4.0
1980,HAWAII,"COMMONER, BARRY",OTHER,1548,5.0
1980,HAWAII,"HALL, GUS",OTHER,458,6.0
1984,HAWAII,"REAGAN, RONALD",REPUBLICAN,185050,1.0
1984,HAWAII,"MONDALE, WALTER",DEMOCRAT,147154,2.0
1984,HAWAII,"BERGLAND, DAVID",LIBERTARIAN,2167,3.0
1984,HAWAII,"HALL, GUS",OTHER,821,4.0
1984,HAWAII,"LAROUCHE, LYNDON, JR.",OTHER,654,5.0
1988,HAWAII,"DUKAKIS, MICHAEL",DEMOCRAT,192364,1.0
1988,HAWAII,"BUSH, GEORGE H.W.",REPUBLICAN,158625,2.0
1988,HAWAII,"PAUL, RONALD """"RON""""",LIBERTARIAN,1999,3.0
1988,HAWAII,"FULANI, LENORA",OTHER,1003,4.0
1988,HAWAII,"LAROUCHE, LYNDON, JR.",OTHER,470,5.0
1992,HAWAII,"CLINTON, BILL",DEMOCRAT,179310,1.0
1992,HAWAII,"BUSH, GEORGE H.W.",REPUBLICAN,136822,2.0
1992,HAWAII,"PEROT, ROSS",OTHER,53003,3.0
1992,HAWAII,"GRITZ, JAMES """"BO""""",OTHER,1452,4.0
1992,HAWAII,"MARROU, ANDRE",LIBERTARIAN,1119,5.0
1992,HAWAII,"FULANI, LENORA",OTHER,720,6.0
1992,HAWAII,"HAGELIN, JOHN",OTHER,416,7.0
1996,HAWAII,"CLINTON, BILL",DEMOCRAT,205012,1.0
1996,HAWAII,"DOLE, ROBERT",REPUBLICAN,113943,2.0
1996,HAWAII,"PEROT, ROSS",OTHER,27358,3.0
1996,HAWAII,"NADER, RALPH",OTHER,10386,4.0
1996,HAWAII,"BROWNE, HARRY",LIBERTARIAN,2493,5.0
1996,HAWAII,"HAGELIN, JOHN",OTHER,570,6.0
1996,HAWAII,"PHILLIPS, HOWARD",OTHER,358,7.0
2000,HAWAII,"GORE, AL",DEMOCRAT,205286,1.0
2000,HAWAII,"BUSH, GEORGE W.",REPUBLICAN,137845,2.0
2000,HAWAII,"NADER, RALPH",OTHER,21623,3.0
2000,HAWAII,"BROWNE, HARRY",LIBERTARIAN,1477,4.0
2000,HAWAII,"BUCHANAN, PATRICK """"PAT""""",OTHER,1071,5.0
2000,HAWAII,"PHILLIPS, HOWARD",OTHER,343,6.0
2000,HAWAII,"HAGELIN, JOHN",OTHER,306,7.0
2004,HAWAII,"KERRY, JOHN",DEMOCRAT,231708,1.0
2004,HAWAII,"BUSH, GEORGE W.",REPUBLICAN,194191,2.0
2004,HAWAII,"COBB, DAVID",OTHER,1737,3.0
2004,HAWAII,"BADNARIK, MICHAEL",LIBERTARIAN,1377,4.0
2008,HAWAII,"OBAMA, BARACK H.",DEMOCRAT,325871,1.0
2008,HAWAII,"MCCAIN, JOHN",REPUBLICAN,120566,2.0
2008,HAWAII,"NADER, RALPH",OTHER,3825,3.0
2008,HAWAII,BLANK VOTE,OTHER,2193,4.0
2008,HAWAII,"BARR, BOB",LIBERTARIAN,1314,5.0
2008,HAWAII,"BALDWIN, CHARLES """"CHUCK""""",OTHER,1013,6.0
2008,HAWAII,"MCKINNEY, CYNTHIA",OTHER,979,7.0
2008,HAWAII,OVER VOTE,OTHER,303,8.0
2012,HAWAII,"OBAMA, BARACK H.",DEMOCRAT,306658,1.0
2012,HAWAII,"ROMNEY, MITT",REPUBLICAN,121015,2.0
2012,HAWAII,"JOHNSON, GARY",LIBERTARIAN,3840,3.0
2012,HAWAII,"STEIN, JILL",OTHER,3184,4.0
2012,HAWAII,BLANK VOTE,OTHER,2227,5.0
2012,HAWAII,OVER VOTE,OTHER,235,6.0
2016,HAWAII,"CLINTON, HILLARY",DEMOCRAT,266891,1.0
2016,HAWAII,"TRUMP, DONALD J.",REPUBLICAN,128847,2.0
2016,HAWAII,"JOHNSON, GARY",LIBERTARIAN,15954,3.0
2016,HAWAII,"STEIN, JILL",OTHER,12737,4.0
2016,HAWAII,BLANK VOTE,OTHER,8289,5.0
2016,HAWAII,"CASTLE, DARRELL L.",OTHER,4508,6.0
2016,HAWAII,OVER VOTE,OTHER,438,7.0
2020,HAWAII,"BIDEN, JOSEPH R. JR",DEMOCRAT,366130,1.0
2020,HAWAII,"TRUMP, DONALD J.",REPUBLICAN,196864,2.0
2020,HAWAII,"JORGENSEN, JO",LIBERTARIAN,5539,3.0
2020,HAWAII,BLANK VOTES,OTHER,4927,4.0
2020,HAWAII,"HAWKINS, HOWIE",OTHER,3822,5.0
2020,HAWAII,"PIERCE, BROCK",OTHER,1183,6.0
2020,HAWAII,"BLANKENSHIP, DON",OTHER,931,7.0
2020,HAWAII,OVERVOTES,OTHER,388,8.0
1976,IDAHO,"FORD, GERALD",REPUBLICAN,204151,1.0
1976,IDAHO,"CARTER, JIMMY",DEMOCRAT,126549,2.0
1976,IDAHO,"MADDOX, LESTER",OTHER,5935,3.0
1976,IDAHO,"MACBRIDE, ROGER",LIBERTARIAN,3558,4.0
1976,IDAHO,"LAROUCHE, LYNDON, JR.",OTHER,739,5.0
1980,IDAHO,"REAGAN, RONALD",REPUBLICAN,290699,1.0
1980,IDAHO,"CARTER, JIMMY",DEMOCRAT,110192,2.0
1980,IDAHO,"ANDERSON, JOHN B.",OTHER,27058,3.0
1980,IDAHO,"CLARK, EDWARD """"ED""""",LIBERTARIAN,8425,4.0
1980,IDAHO,"RARICK, JOHN",OTHER,1057,5.0
1984,IDAHO,"REAGAN, RONALD",REPUBLICAN,297523,1.0
1984,IDAHO,"MONDALE, WALTER",DEMOCRAT,108510,2.0
1984,IDAHO,"BERGLAND, DAVID",LIBERTARIAN,2823,3.0
1984,IDAHO,"RICHARDS, BOB",OTHER,2288,4.0
1988,IDAHO,"BUSH, GEORGE H.W.",REPUBLICAN,253881,1.0
1988,IDAHO,"DUKAKIS, MICHAEL",DEMOCRAT,147272,2.0
1988,IDAHO,"PAUL, RONALD """"RON""""",LIBERTARIAN,5313,3.0
1988,IDAHO,"FULANI, LENORA",OTHER,2502,4.0
1992,IDAHO,"BUSH, GEORGE H.W.",REPUBLICAN,202645,1.0
1992,IDAHO,"CLINTON, BILL",DEMOCRAT,137013,2.0
1992,IDAHO,"PEROT, ROSS",OTHER,130395,3.0
1992,IDAHO,"GRITZ, JAMES """"BO""""",OTHER,10894,4.0
1992,IDAHO,"MARROU, ANDRE",LIBERTARIAN,1167,5.0
1996,IDAHO,"DOLE, ROBERT",REPUBLICAN,256595,1.0
1996,IDAHO,"CLINTON, BILL",DEMOCRAT,165443,2.0
1996,IDAHO,"PEROT, ROSS",OTHER,62518,3.0
1996,IDAHO,"BROWNE, HARRY",LIBERTARIAN,3325,4.0
1996,IDAHO,"PHILLIPS, HOWARD",OTHER,2230,5.0
1996,IDAHO,"HAGELIN, JOHN",OTHER,1600,6.0
2000,IDAHO,"BUSH, GEORGE W.",REPUBLICAN,336937,1.0
2000,IDAHO,"GORE, AL",DEMOCRAT,138637,2.0
2000,IDAHO,"NADER, RALPH",OTHER,12292,3.0
2000,IDAHO,"BUCHANAN, PATRICK """"PAT""""",OTHER,7615,4.0
2000,IDAHO,"BROWNE, HARRY",LIBERTARIAN,3488,5.0
2000,IDAHO,"PHILLIPS, HOWARD",OTHER,1469,6.0
2000,IDAHO,"HAGELIN, JOHN",OTHER,1177,7.0
2004,IDAHO,"BUSH, GEORGE W.",REPUBLICAN,409235,1.0
2004,IDAHO,"KERRY, JOHN",DEMOCRAT,181098,2.0
2004,IDAHO,"BADNARIK, MICHAEL",LIBERTARIAN,3844,3.0
2004,IDAHO,"PEROUTKA, MICHAEL",OTHER,3084,4.0
2004,IDAHO,"NADER, RALPH",OTHER,1115,5.0
2008,IDAHO,"MCCAIN, JOHN",REPUBLICAN,403012,1.0
2008,IDAHO,"OBAMA, BARACK H.",DEMOCRAT,236440,2.0
2008,IDAHO,"NADER, RALPH",OTHER,7175,3.0
2008,IDAHO,"BALDWIN, CHARLES """"CHUCK""""",OTHER,4747,4.0
2008,IDAHO,"BARR, BOB",LIBERTARIAN,3658,5.0
2008,IDAHO,,OTHER,90,6.0
2012,IDAHO,"ROMNEY, MITT",REPUBLICAN,420911,1.0
2012,IDAHO,"OBAMA, BARACK H.",DEMOCRAT,212787,2.0
2012,IDAHO,"JOHNSON, GARY",LIBERTARIAN,9453,3.0
2012,IDAHO,,OTHER,6901,4.0
2012,IDAHO,"GOODE, VIRGIL HAMLIN, JR.",OTHER,2222,5.0
2016,IDAHO,"TRUMP, DONALD J.",REPUBLICAN,409055,1.0
2016,IDAHO,"CLINTON, HILLARY",DEMOCRAT,189765,2.0
2016,IDAHO,"MCMULLIN, EVAN",OTHER,60748,3.0
2016,IDAHO,"JOHNSON, GARY",LIBERTARIAN,28331,4.0
2016,IDAHO,"CASTLE, DARRELL L.",OTHER,2356,5.0
2020,IDAHO,"TRUMP, DONALD J.",REPUBLICAN,554119,1.0
2020,IDAHO,"BIDEN, JOSEPH R. JR",DEMOCRAT,287021,2.0
2020,IDAHO,"JORGENSEN, JO",LIBERTARIAN,16404,3.0
2020,IDAHO,"WEST, KANYE",OTHER,3632,4.0
2020,IDAHO,"PIERCE, BROCK",OTHER,2808,5.0
2020,IDAHO,"BLANKENSHIP, DON",OTHER,1886,6.0
2020,IDAHO,"DE LA FUENTE, ROQUE """"ROCKY""""",OTHER,1491,7.0
2020,IDAHO,"HAWKINS, HOWIE",OTHER,407,8.0
2020,IDAHO,"CARROLL, BRIAN",OTHER,163,9.0
2020,IDAHO,"LA RIVA, GLORIA ESTELLA",OTHER,49,10.0
2020,IDAHO,"SIMMONS, JADE",OTHER,21,11.0
2020,IDAHO,"HOEFLING, TOM",OTHER,7,12.0
2020,IDAHO,"HOWARD, SHAWN W.",OTHER,4,13.0
2020,IDAHO,"CELLA, TODD",OTHER,1,14.5
2020,IDAHO,"FRANKLIN, CHRIS",OTHER,1,14.5
1976,ILLINOIS,"FORD, GERALD",REPUBLICAN,2364269,1.0
1976,ILLINOIS,"CARTER, JIMMY",DEMOCRAT,2271295,2.0
1976,ILLINOIS,"MCCARTHY, EUGENE """"GENE""""",OTHER,55939,3.0
1976,ILLINOIS,"HALL, GUS",OTHER,9250,4.0
1976,ILLINOIS,"MACBRIDE, ROGER",LIBERTARIAN,8057,5.0
1976,ILLINOIS,,OTHER,4417,6.0
1976,ILLINOIS,"CAMEJO, PETER",OTHER,3615,7.0
1976,ILLINOIS,"JULIUS """"JULES"""", LEVIN",OTHER,2422,8.0
1976,ILLINOIS,"LAROUCHE, LYNDON, JR.",OTHER,2018,9.0
1980,ILLINOIS,"REAGAN, RONALD",REPUBLICAN,2358049,1.0
1980,ILLINOIS,"CARTER, JIMMY",DEMOCRAT,1981413,2.0
1980,ILLINOIS,"ANDERSON, JOHN B.",OTHER,346754,3.0
1980,ILLINOIS,"CLARK, EDWARD """"ED""""",LIBERTARIAN,38939,4.0
1980,ILLINOIS,"COMMONER, BARRY",OTHER,10692,5.0
1980,ILLINOIS,"HALL, GUS",OTHER,9711,6.0
1980,ILLINOIS,"GRISWOLD, DEIRDRE",OTHER,2257,7.0
1980,ILLINOIS,"DEBERRY, CLIFTON",OTHER,1302,8.0
1980,ILLINOIS,,OTHER,604,9.0
1984,ILLINOIS,"REAGAN, RONALD",REPUBLICAN,2707103,1.0
1984,ILLINOIS,"MONDALE, WALTER",DEMOCRAT,2086499,2.0
1984,ILLINOIS,"BERGLAND, DAVID",LIBERTARIAN,10086,3.0
1984,ILLINOIS,"HALL, GUS",OTHER,4672,4.0
1984,ILLINOIS,"JOHNSON, SONIA",OTHER,2716,5.0
1984,ILLINOIS,"WINN, EDWARD",OTHER,2632,6.0
1984,ILLINOIS,"SERRETTE, DENNIS",OTHER,2386,7.0
1984,ILLINOIS,"MASON, MELVIN",OTHER,2132,8.0
1984,ILLINOIS,OTHER,OTHER,862,9.0
1988,ILLINOIS,"BUSH, GEORGE H.W.",REPUBLICAN,2310939,1.0
1988,ILLINOIS,"DUKAKIS, MICHAEL",DEMOCRAT,2215940,2.0
1988,ILLINOIS,"PAUL, RONALD """"RON""""",LIBERTARIAN,14944,3.0
1988,ILLINOIS,"FULANI, LENORA",OTHER,10276,4.0
1988,ILLINOIS,"WINN, EDWARD",OTHER,7021,5.0
1992,ILLINOIS,"CLINTON, BILL",DEMOCRAT,2453350,1.0
1992,ILLINOIS,"BUSH, GEORGE H.W.",REPUBLICAN,1734096,2.0
1992,ILLINOIS,"PEROT, ROSS",OTHER,840515,3.0
1992,ILLINOIS,"MARROU, ANDRE",LIBERTARIAN,9218,4.0
1992,ILLINOIS,"FULANI, LENORA",OTHER,5267,5.0
1992,ILLINOIS,"GRITZ, JAMES """"BO""""",OTHER,3577,6.0
1992,ILLINOIS,"HAGELIN, JOHN",OTHER,2751,7.0
1992,ILLINOIS,"WARREN, JAMES """"MAC""""",OTHER,1361,8.0
1992,ILLINOIS,,OTHER,22,9.0
1996,ILLINOIS,"CLINTON, BILL",DEMOCRAT,2341744,1.0
1996,ILLINOIS,"DOLE, ROBERT",REPUBLICAN,1587021,2.0
1996,ILLINOIS,"PEROT, ROSS",OTHER,346408,3.0
1996,ILLINOIS,"BROWNE, HARRY",LIBERTARIAN,22548,4.0
1996,ILLINOIS,"PHILLIPS, HOWARD",OTHER,7606,5.0
1996,ILLINOIS,"HAGELIN, JOHN",OTHER,4606,6.0
1996,ILLINOIS,,OTHER,1458,7.0
2000,ILLINOIS,"GORE, AL",DEMOCRAT,2589026,1.0
2000,ILLINOIS,"BUSH, GEORGE W.",REPUBLICAN,2019421,2.0
2000,ILLINOIS,"NADER, RALPH",OTHER,103759,3.0
2000,ILLINOIS,,OTHER,16106,4.0
2000,ILLINOIS,"BROWNE, HARRY",LIBERTARIAN,11623,5.0
2000,ILLINOIS,"BUCHANAN, PATRICK """"PAT""""",OTHER,2127,6.0
2000,ILLINOIS,,OTHER,46,7.0
2004,ILLINOIS,"KERRY, JOHN",DEMOCRAT,2891550,1.0
2004,ILLINOIS,"BUSH, GEORGE W.",REPUBLICAN,2345946,2.0
2004,ILLINOIS,"BADNARIK, MICHAEL",LIBERTARIAN,32442,3.0
2004,ILLINOIS,OTHER,OTHER,4384,4.0
2008,ILLINOIS,"OBAMA, BARACK H.",DEMOCRAT,3419348,1.0
2008,ILLINOIS,"MCCAIN, JOHN",REPUBLICAN,2031179,2.0
2008,ILLINOIS,"NADER, RALPH",OTHER,30948,3.0
2008,ILLINOIS,"BARR, BOB",LIBERTARIAN,19642,4.0
2008,ILLINOIS,"MCKINNEY, CYNTHIA",OTHER,11838,5.0
2008,ILLINOIS,"BALDWIN, CHARLES """"CHUCK""""",OTHER,8256,6.0
2008,ILLINOIS,,OTHER,1149,7.0
2008,ILLINOIS,,OTHER,11,8.0
2012,ILLINOIS,"OBAMA, BARACK H.",DEMOCRAT,3019512,1.0
2012,ILLINOIS,"ROMNEY, MITT",REPUBLICAN,2135216,2.0
2012,ILLINOIS,"JOHNSON, GARY",LIBERTARIAN,56229,3.0
2012,ILLINOIS,"STEIN, JILL",OTHER,30222,4.0
2012,ILLINOIS,,OTHER,835,5.0
2016,ILLINOIS,"CLINTON, HILLARY",DEMOCRAT,3090729,1.0
2016,ILLINOIS,"TRUMP, DONALD J.",REPUBLICAN,2146015,2.0
2016,ILLINOIS,"JOHNSON, GARY",LIBERTARIAN,209596,3.0
2016,ILLINOIS,"STEIN, JILL",OTHER,76802,4.0
2016,ILLINOIS,,OTHER,13282,5.0
2020,ILLINOIS,"BIDEN, JOSEPH R. JR",DEMOCRAT,3471915,1.0
2020,ILLINOIS,"TRUMP, DONALD J.",REPUBLICAN,2446891,2.0
2020,ILLINOIS,"JORGENSEN, JO",LIBERTARIAN,66544,3.0
2020,ILLINOIS,"HAWKINS, HOWIE",OTHER,30494,4.0
2020,ILLINOIS,"CARROLL, BRIAN",OTHER,9548,5.0
2020,ILLINOIS,"LA RIVA, GLORIA ESTELLA",OTHER,8046,6.0
2020,ILLINOIS,"FARNEY, JOHN",OTHER,84,7.0
2020,ILLINOIS,"SIMMONS, JADE",OTHER,78,8.0
2020,ILLINOIS,MARK CHARLES,OTHER,75,9.0
2020,ILLINOIS,"WELLS, KASEY",OTHER,18,10.5
2020,ILLINOIS,"BLANKENSHIP, DON",OTHER,18,10.5
2020,ILLINOIS,"WILLIAMS JR., ANDY",OTHER,8,12.0
2020,ILLINOIS,"BELLAR, BARBARA",OTHER,7,13.0
2020,ILLINOIS,"KISHORE, JOSEPH",OTHER,5,14.0
2020,ILLINOIS,"MCKEE, KEVIN",OTHER,4,15.0
2020,ILLINOIS,"COLLINS, PHIL",OTHER,3,16.0
2020,ILLINOIS,"STRUCK, JAMES TIMOTHY",OTHER,2,17.0
2020,ILLINOIS,"ROUSE, DEBORAH",OTHER,1,19.0
2020,ILLINOIS,"HIGGS, JEREMY",OTHER,1,19.0
2020,ILLINOIS,"SIMMONS, MARY RUTH CARO",OTHER,1,19.0
1976,INDIANA,"FORD, GERALD",REPUBLICAN,1183958,1.0
1976,INDIANA,"CARTER, JIMMY",DEMOCRAT,1014714,2.0
1976,INDIANA,"ANDERSON, THOMAS J.",OTHER,14048,3.0
1976,INDIANA,"CAMEJO, PETER",OTHER,5695,4.0
1976,INDIANA,"LAROUCHE, LYNDON, JR.",OTHER,1947,5.0
1980,INDIANA,"REAGAN, RONALD",REPUBLICAN,1255656,1.0
1980,INDIANA,"CARTER, JIMMY",DEMOCRAT,844197,2.0
1980,INDIANA,"ANDERSON, JOHN B.",OTHER,111639,3.0
1980,INDIANA,"CLARK, EDWARD """"ED""""",LIBERTARIAN,19627,4.0
1980,INDIANA,"COMMONER, BARRY",OTHER,4852,5.0
1980,INDIANA,"GREAVES, PERCY L, JR.",OTHER,4750,6.0
1980,INDIANA,"HALL, GUS",OTHER,702,7.0
1980,INDIANA,"DEBERRY, CLIFTON",OTHER,610,8.0
1984,INDIANA,"REAGAN, RONALD",REPUBLICAN,1377230,1.0
1984,INDIANA,"MONDALE, WALTER",DEMOCRAT,841481,2.0
1984,INDIANA,"DENNIS, DELMAR",OTHER,7617,3.0
1984,INDIANA,"BERGLAND, DAVID",LIBERTARIAN,6741,4.0
1988,INDIANA,"BUSH, GEORGE H.W.",REPUBLICAN,1297763,1.0
1988,INDIANA,"DUKAKIS, MICHAEL",DEMOCRAT,860643,2.0
1988,INDIANA,"FULANI, LENORA",OTHER,10215,3.0
1992,INDIANA,"BUSH, GEORGE H.W.",REPUBLICAN,989375,1.0
1992,INDIANA,"CLINTON, BILL",DEMOCRAT,848420,2.0
1992,INDIANA,"PEROT, ROSS",OTHER,455934,3.0
1992,INDIANA,"MARROU, ANDRE",LIBERTARIAN,7936,4.0
1992,INDIANA,"FULANI, LENORA",OTHER,2583,5.0
1992,INDIANA,,OTHER,1623,6.0
1996,INDIANA,"DOLE, ROBERT",REPUBLICAN,1006693,1.0
1996,INDIANA,"CLINTON, BILL",DEMOCRAT,887424,2.0
1996,INDIANA,"PEROT, ROSS",OTHER,224299,3.0
1996,INDIANA,"BROWNE, HARRY",LIBERTARIAN,15632,4.0
1996,INDIANA,,OTHER,1383,5.0
2000,INDIANA,"BUSH, GEORGE W.",REPUBLICAN,1245836,1.0
2000,INDIANA,"GORE, AL",DEMOCRAT,901980,2.0
2000,INDIANA,,OTHER,18997,3.0
2000,INDIANA,"BUCHANAN, PATRICK """"PAT""""",OTHER,16959,4.0
2000,INDIANA,"BROWNE, HARRY",LIBERTARIAN,15530,5.0
2004,INDIANA,"BUSH, GEORGE W.",REPUBLICAN,1479438,1.0
2004,INDIANA,"KERRY, JOHN",DEMOCRAT,969011,2.0
2004,INDIANA,"BADNARIK, MICHAEL",LIBERTARIAN,18058,3.0
2004,INDIANA,OTHER,OTHER,1495,4.0
2008,INDIANA,"OBAMA, BARACK H.",DEMOCRAT,1374039,1.0
2008,INDIANA,"MCCAIN, JOHN",REPUBLICAN,1345648,2.0
2008,INDIANA,"BARR, BOB",LIBERTARIAN,29257,3.0
2008,INDIANA,,OTHER,1201,4.0
2008,INDIANA,"NADER, RALPH",OTHER,909,5.0
2012,INDIANA,"ROMNEY, MITT",REPUBLICAN,1420543,1.0
2012,INDIANA,"OBAMA, BARACK H.",DEMOCRAT,1152887,2.0
2012,INDIANA,"JOHNSON, GARY",LIBERTARIAN,50111,3.0
2012,INDIANA,,OTHER,993,4.0
2016,INDIANA,"TRUMP, DONALD J.",REPUBLICAN,1557286,1.0
2016,INDIANA,"CLINTON, HILLARY",DEMOCRAT,1033126,2.0
2016,INDIANA,"JOHNSON, GARY",LIBERTARIAN,133993,3.0
2016,INDIANA,,OTHER,7841,4.0
2016,INDIANA,"CASTLE, DARRELL L.",OTHER,1937,5.0
2016,INDIANA,,OTHER,718,6.0
2016,INDIANA,"EMIDIO """"MIMI"""", SOLTYSIK",OTHER,57,7.0
2020,INDIANA,"TRUMP, DONALD J.",REPUBLICAN,1729519,1.0
2020,INDIANA,"BIDEN, JOSEPH R. JR",DEMOCRAT,1242416,2.0
2020,INDIANA,"JORGENSEN, JO",LIBERTARIAN,59232,3.0
2020,INDIANA,"HAWKINS, HOWIE",OTHER,988,4.0
2020,INDIANA,"CARROLL, BRIAN",OTHER,893,5.0
2020,INDIANA,"HOWARD, SHAWN W.",OTHER,23,6.0
2020,INDIANA,"MCCRAY, VALERIE",OTHER,17,7.0
2020,INDIANA,"SCHRINER, JOE",OTHER,13,8.0
2020,INDIANA,JOHNSON JR. JAMES L.,OTHER,5,9.0
2020,INDIANA,"ROUSE, DEBORAH",OTHER,4,10.5
2020,INDIANA,"WILLIAMS, MITCHELL",OTHER,4,10.5
2020,INDIANA,"STRIED, CHRISTOPHER",OTHER,2,12.0
2020,INDIANA,"F, RANDALL",OTHER,1,13.5
2020,INDIANA,"WELLS, KASEY",OTHER,1,13.5
1976,IOWA,"FORD, GERALD",REPUBLICAN,632864,1.0
1976,IOWA,"CARTER, JIMMY",DEMOCRAT,619931,2.0
1976,IOWA,"MCCARTHY, EUGENE """"GENE""""",OTHER,20057,3.0
1976,IOWA,"ANDERSON, THOMAS J.",OTHER,3041,4.0
1976,IOWA,"MACBRIDE, ROGER",LIBERTARIAN,1454,5.0
1976,IOWA,"HALL, GUS",OTHER,551,6.0
1976,IOWA,SCATTERING,OTHER,509,7.0
1976,IOWA,"CAMEJO, PETER",OTHER,262,8.0
1976,IOWA,"LAROUCHE, LYNDON, JR.",OTHER,241,9.0
1976,IOWA,"ZEIDLER, FRANK",OTHER,233,10.0
1976,IOWA,"JULIUS """"JULES"""", LEVIN",OTHER,160,11.0
1980,IOWA,"REAGAN, RONALD",REPUBLICAN,676026,1.0
1980,IOWA,"CARTER, JIMMY",DEMOCRAT,508672,2.0
1980,IOWA,"ANDERSON, JOHN B.",OTHER,115633,3.0
1980,IOWA,"CLARK, EDWARD """"ED""""",LIBERTARIAN,13123,4.0
1980,IOWA,"COMMONER, BARRY",OTHER,2273,5.0
1980,IOWA,"MCREYNOLDS, DAVID",OTHER,534,6.0
1980,IOWA,,OTHER,519,7.0
1980,IOWA,"HALL, GUS",OTHER,298,8.0
1980,IOWA,"DEBERRY, CLIFTON",OTHER,244,9.0
1980,IOWA,"GREAVES, PERCY L, JR.",OTHER,189,10.0
1980,IOWA,"BUBAR, BENJAMIN """"BEN""""",OTHER,150,11.0
1984,IOWA,"REAGAN, RONALD",REPUBLICAN,703088,1.0
1984,IOWA,"MONDALE, WALTER",DEMOCRAT,605620,2.0
1984,IOWA,"LAROUCHE, LYNDON, JR.",OTHER,6248,3.0
1984,IOWA,"BERGLAND, DAVID",LIBERTARIAN,1844,4.0
1984,IOWA,OTHER,OTHER,1051,5.0
1984,IOWA,"BAKER, GERALD",OTHER,892,6.0
1984,IOWA,"SERRETTE, DENNIS",OTHER,463,7.0
1984,IOWA,"MASON, MELVIN",OTHER,313,8.0
1984,IOWA,"HALL, GUS",OTHER,286,9.0
1988,IOWA,"DUKAKIS, MICHAEL",DEMOCRAT,670557,1.0
1988,IOWA,"BUSH, GEORGE H.W.",REPUBLICAN,545355,2.0
1988,IOWA,"LAROUCHE, LYNDON, JR.",OTHER,3526,3.0
1988,IOWA,"PAUL, RONALD """"RON""""",LIBERTARIAN,2494,4.0
1988,IOWA,SCATTERING,OTHER,1613,5.0
1988,IOWA,"DUKE, DAVID",OTHER,755,6.0
1988,IOWA,"FULANI, LENORA",OTHER,540,7.0
1988,IOWA,"KENOYER, WILLA",OTHER,334,8.0
1988,IOWA,"WINN, EDWARD",OTHER,235,9.0
1988,IOWA,"WARREN, JAMES """"MAC""""",OTHER,205,10.0
1992,IOWA,"CLINTON, BILL",DEMOCRAT,586353,1.0
1992,IOWA,"BUSH, GEORGE H.W.",REPUBLICAN,504891,2.0
1992,IOWA,"PEROT, ROSS",OTHER,253468,3.0
1992,IOWA,"HAGELIN, JOHN",OTHER,3079,4.0
1992,IOWA,OTHER,OTHER,1753,5.0
1992,IOWA,"GRITZ, JAMES """"BO""""",OTHER,1177,6.0
1992,IOWA,"MARROU, ANDRE",LIBERTARIAN,1076,7.0
1992,IOWA,BLANK VOTE/SCATTERING,OTHER,741,8.0
1992,IOWA,"HERER, JACK",OTHER,669,9.0
1992,IOWA,"PHILLIPS, HOWARD",OTHER,480,10.0
1992,IOWA,"WARREN, JAMES """"MAC""""",OTHER,273,11.0
1992,IOWA,"LAROUCHE, LYNDON, JR.",OTHER,238,12.0
1992,IOWA,OTHER,OTHER,212,13.0
1992,IOWA,"FULANI, LENORA",OTHER,197,14.0
1996,IOWA,"CLINTON, BILL",DEMOCRAT,620258,1.0
1996,IOWA,"DOLE, ROBERT",REPUBLICAN,492644,2.0
1996,IOWA,"PEROT, ROSS",OTHER,105159,3.0
1996,IOWA,"NADER, RALPH",OTHER,6550,4.0
1996,IOWA,"HAGELIN, JOHN",OTHER,3349,5.0
1996,IOWA,"BROWNE, HARRY",LIBERTARIAN,2315,6.0
1996,IOWA,"PHILLIPS, HOWARD",OTHER,2229,7.0
1996,IOWA,SCATTERING,OTHER,1240,8.0
1996,IOWA,"HARRIS, JAMES",OTHER,331,9.0
2000,IOWA,"GORE, AL",DEMOCRAT,638517,1.0
2000,IOWA,"BUSH, GEORGE W.",REPUBLICAN,634373,2.0
2000,IOWA,,OTHER,37459,3.0
2000,IOWA,"NADER, RALPH",OTHER,29374,4.0
2000,IOWA,"BUCHANAN, PATRICK """"PAT""""",OTHER,5731,5.0
2000,IOWA,"BROWNE, HARRY",LIBERTARIAN,3209,6.0
2000,IOWA,"HAGELIN, JOHN",OTHER,2281,7.0
2000,IOWA,SCATTERING,OTHER,1168,8.0
2000,IOWA,"PHILLIPS, HOWARD",OTHER,613,9.0
2000,IOWA,"HARRIS, JAMES",OTHER,190,10.0
2000,IOWA,"MCREYNOLDS, DAVID",OTHER,107,11.0
2004,IOWA,"BUSH, GEORGE W.",REPUBLICAN,751957,1.0
2004,IOWA,"KERRY, JOHN",DEMOCRAT,741898,2.0
2004,IOWA,OTHER,OTHER,6149,3.0
2004,IOWA,"BADNARIK, MICHAEL",LIBERTARIAN,2992,4.0
2004,IOWA,"PEROUTKA, MICHAEL",OTHER,1304,5.0
2004,IOWA,"COBB, DAVID",OTHER,1141,6.0
2004,IOWA,OTHER,OTHER,1094,7.0
2004,IOWA,"CALERO, ROGER",OTHER,373,8.0
2008,IOWA,"OBAMA, BARACK H.",DEMOCRAT,828940,1.0
2008,IOWA,"MCCAIN, JOHN",REPUBLICAN,682379,2.0
2008,IOWA,"NADER, RALPH",OTHER,8014,3.0
2008,IOWA,,OTHER,6737,4.0
