DateTime,Junction,Vehicles,ID,DayOfWeek,Hour
2015-11-01 00:00:00,1,15,20151101001,6,0
2015-11-01 01:00:00,1,13,20151101011,6,1
2015-11-01 02:00:00,1,10,20151101021,6,2
2015-11-01 03:00:00,1,7,20151101031,6,3
2015-11-01 04:00:00,1,9,20151101041,6,4
2015-11-01 05:00:00,1,6,20151101051,6,5
2015-11-01 06:00:00,1,9,20151101061,6,6
2015-11-01 07:00:00,1,8,20151101071,6,7
2015-11-01 08:00:00,1,11,20151101081,6,8
2015-11-01 09:00:00,1,12,20151101091,6,9
2015-11-01 10:00:00,1,15,20151101101,6,10
2015-11-01 11:00:00,1,17,20151101111,6,11
2015-11-01 12:00:00,1,16,20151101121,6,12
2015-11-01 13:00:00,1,15,20151101131,6,13
2015-11-01 14:00:00,1,16,20151101141,6,14
2015-11-01 15:00:00,1,12,20151101151,6,15
2015-11-01 16:00:00,1,12,20151101161,6,16
2015-11-01 17:00:00,1,16,20151101171,6,17
2015-11-01 18:00:00,1,17,20151101181,6,18
2015-11-01 19:00:00,1,20,20151101191,6,19
2015-11-01 20:00:00,1,17,20151101201,6,20
2015-11-01 21:00:00,1,19,20151101211,6,21
2015-11-01 22:00:00,1,20,20151101221,6,22
2015-11-01 23:00:00,1,15,20151101231,6,23
2015-11-02 00:00:00,1,14,20151102001,0,0
2015-11-02 01:00:00,1,12,20151102011,0,1
2015-11-02 02:00:00,1,14,20151102021,0,2
2015-11-02 03:00:00,1,12,20151102031,0,3
2015-11-02 04:00:00,1,12,20151102041,0,4
2015-11-02 05:00:00,1,11,20151102051,0,5
2015-11-02 06:00:00,1,13,20151102061,0,6
2015-11-02 07:00:00,1,14,20151102071,0,7
2015-11-02 08:00:00,1,12,20151102081,0,8
2015-11-02 09:00:00,1,22,20151102091,0,9
2015-11-02 10:00:00,1,32,20151102101,0,10
2015-11-02 11:00:00,1,31,20151102111,0,11
2015-11-02 12:00:00,1,35,20151102121,0,12
2015-11-02 13:00:00,1,26,20151102131,0,13
2015-11-02 14:00:00,1,34,20151102141,0,14
2015-11-02 15:00:00,1,30,20151102151,0,15
2015-11-02 16:00:00,1,27,20151102161,0,16
2015-11-02 17:00:00,1,27,20151102171,0,17
2015-11-02 18:00:00,1,24,20151102181,0,18
2015-11-02 19:00:00,1,26,20151102191,0,19
2015-11-02 20:00:00,1,29,20151102201,0,20
2015-11-02 21:00:00,1,32,20151102211,0,21
2015-11-02 22:00:00,1,30,20151102221,0,22
2015-11-02 23:00:00,1,27,20151102231,0,23
2015-11-03 00:00:00,1,21,20151103001,1,0
2015-11-03 01:00:00,1,18,20151103011,1,1
2015-11-03 02:00:00,1,19,20151103021,1,2
2015-11-03 03:00:00,1,13,20151103031,1,3
2015-11-03 04:00:00,1,11,20151103041,1,4
2015-11-03 05:00:00,1,11,20151103051,1,5
2015-11-03 06:00:00,1,11,20151103061,1,6
2015-11-03 07:00:00,1,14,20151103071,1,7
2015-11-03 08:00:00,1,15,20151103081,1,8
2015-11-03 09:00:00,1,29,20151103091,1,9
2015-11-03 10:00:00,1,33,20151103101,1,10
2015-11-03 11:00:00,1,32,20151103111,1,11
2015-11-03 12:00:00,1,32,20151103121,1,12
2015-11-03 13:00:00,1,29,20151103131,1,13
2015-11-03 14:00:00,1,27,20151103141,1,14
2015-11-03 15:00:00,1,26,20151103151,1,15
2015-11-03 16:00:00,1,28,20151103161,1,16
2015-11-03 17:00:00,1,26,20151103171,1,17
2015-11-03 18:00:00,1,25,20151103181,1,18
2015-11-03 19:00:00,1,29,20151103191,1,19
2015-11-03 20:00:00,1,26,20151103201,1,20
2015-11-03 21:00:00,1,24,20151103211,1,21
2015-11-03 22:00:00,1,25,20151103221,1,22
2015-11-03 23:00:00,1,20,20151103231,1,23
2015-11-04 00:00:00,1,18,20151104001,2,0
2015-11-04 01:00:00,1,18,20151104011,2,1
2015-11-04 02:00:00,1,13,20151104021,2,2
2015-11-04 03:00:00,1,13,20151104031,2,3
2015-11-04 04:00:00,1,10,20151104041,2,4
2015-11-04 05:00:00,1,12,20151104051,2,5
2015-11-04 06:00:00,1,13,20151104061,2,6
2015-11-04 07:00:00,1,11,20151104071,2,7
2015-11-04 08:00:00,1,13,20151104081,2,8
2015-11-04 09:00:00,1,22,20151104091,2,9
2015-11-04 10:00:00,1,26,20151104101,2,10
2015-11-04 11:00:00,1,27,20151104111,2,11
2015-11-04 12:00:00,1,31,20151104121,2,12
2015-11-04 13:00:00,1,24,20151104131,2,13
2015-11-04 14:00:00,1,23,20151104141,2,14
2015-11-04 15:00:00,1,26,20151104151,2,15
2015-11-04 16:00:00,1,26,20151104161,2,16
2015-11-04 17:00:00,1,24,20151104171,2,17
2015-11-04 18:00:00,1,23,20151104181,2,18
2015-11-04 19:00:00,1,25,20151104191,2,19
2015-11-04 20:00:00,1,26,20151104201,2,20
2015-11-04 21:00:00,1,24,20151104211,2,21
2015-11-04 22:00:00,1,26,20151104221,2,22
2015-11-04 23:00:00,1,24,20151104231,2,23
2015-11-05 00:00:00,1,19,20151105001,3,0
2015-11-05 01:00:00,1,20,20151105011,3,1
2015-11-05 02:00:00,1,18,20151105021,3,2
2015-11-05 03:00:00,1,13,20151105031,3,3
2015-11-05 04:00:00,1,13,20151105041,3,4
2015-11-05 05:00:00,1,9,20151105051,3,5
2015-11-05 06:00:00,1,12,20151105061,3,6
2015-11-05 07:00:00,1,12,20151105071,3,7
2015-11-05 08:00:00,1,15,20151105081,3,8
2015-11-05 09:00:00,1,16,20151105091,3,9
2015-11-05 10:00:00,1,23,20151105101,3,10
2015-11-05 11:00:00,1,24,20151105111,3,11
2015-11-05 12:00:00,1,25,20151105121,3,12
2015-11-05 13:00:00,1,24,20151105131,3,13
2015-11-05 14:00:00,1,26,20151105141,3,14
2015-11-05 15:00:00,1,22,20151105151,3,15
2015-11-05 16:00:00,1,20,20151105161,3,16
2015-11-05 17:00:00,1,20,20151105171,3,17
2015-11-05 18:00:00,1,22,20151105181,3,18
2015-11-05 19:00:00,1,26,20151105191,3,19
2015-11-05 20:00:00,1,22,20151105201,3,20
2015-11-05 21:00:00,1,21,20151105211,3,21
2015-11-05 22:00:00,1,21,20151105221,3,22
2015-11-05 23:00:00,1,21,20151105231,3,23
2015-11-06 00:00:00,1,16,20151106001,4,0
2015-11-06 01:00:00,1,18,20151106011,4,1
2015-11-06 02:00:00,1,19,20151106021,4,2
2015-11-06 03:00:00,1,14,20151106031,4,3
2015-11-06 04:00:00,1,12,20151106041,4,4
2015-11-06 05:00:00,1,13,20151106051,4,5
2015-11-06 06:00:00,1,14,20151106061,4,6
2015-11-06 07:00:00,1,14,20151106071,4,7
2015-11-06 08:00:00,1,13,20151106081,4,8
2015-11-06 09:00:00,1,20,20151106091,4,9
2015-11-06 10:00:00,1,22,20151106101,4,10
2015-11-06 11:00:00,1,26,20151106111,4,11
2015-11-06 12:00:00,1,26,20151106121,4,12
2015-11-06 13:00:00,1,21,20151106131,4,13
2015-11-06 14:00:00,1,23,20151106141,4,14
2015-11-06 15:00:00,1,23,20151106151,4,15
2015-11-06 16:00:00,1,19,20151106161,4,16
2015-11-06 17:00:00,1,19,20151106171,4,17
2015-11-06 18:00:00,1,20,20151106181,4,18
